# synthetic market — events=10000 init=10000 vol=0.5 spread=2t
add,1,ask,10004,9
add,2,ask,10000,11
add,3,bid,9998,11
add,4,bid,9996,2
add,5,bid,9995,14
add,6,ask,10002,5
cancel,5
add,7,bid,9995,20
add,8,ask,10000,5
add,9,ask,10000,3
add,10,ask,9998,10
add,11,bid,9994,19
add,12,bid,9992,12
add,13,ask,9996,12
add,14,bid,9990,7
add,15,ask,9997,4
add,16,ask,9998,16
cancel,13
add,17,bid,9991,5
add,18,ask,9999,5
add,19,bid,9995,7
add,20,bid,9996,12
add,21,bid,9997,13
cancel,3
add,22,bid,9993,14
add,23,bid,9996,18
add,24,ask,10001,11
add,25,ask,9997,1
add,26,ask,9997,15
add,27,ask,9999,2
add,28,bid,9992,17
add,29,bid,9991,6
add,30,bid,9994,14
add,31,ask,9997,2
add,32,bid,9993,12
add,33,bid,9990,10
add,34,ask,10000,20
cancel,20
add,35,bid,9993,14
cancel,10
add,36,ask,9997,5
add,37,bid,9992,13
add,38,ask,9998,18
cancel,12
cancel,35
add,39,ask,9998,7
add,40,ask,9998,6
add,41,bid,9989,14
add,42,bid,9994,1
add,43,ask,9991,11
add,44,ask,9997,17
add,45,bid,9991,9
add,46,bid,9991,6
add,47,ask,9992,10
add,48,ask,9993,20
add,49,bid,9991,8
cancel,30
add,50,ask,9993,10
add,51,ask,9997,1
cancel,1
add,52,ask,9999,9
add,53,ask,9994,10
add,54,bid,9993,3
add,55,bid,9990,12
cancel,4
add,56,bid,9990,11
cancel,2
add,57,ask,9997,18
cancel,57
cancel,6
add,58,ask,9990,15
cancel,7
add,59,bid,9988,5
cancel,11
add,60,bid,9990,19
cancel,14
add,61,bid,9991,12
cancel,44
add,62,ask,9992,9
cancel,51
cancel,36
add,63,ask,9996,11
cancel,17
add,64,bid,9992,10
cancel,19
add,65,bid,9993,8
cancel,21
add,66,bid,9993,17
cancel,22
add,67,bid,9992,15
add,68,ask,9996,16
add,69,ask,9994,14
add,70,ask,9994,8
add,71,ask,9994,4
cancel,8
add,72,ask,9997,4
cancel,9
add,73,ask,9996,15
cancel,23
add,74,bid,9990,20
cancel,15
add,75,ask,9994,9
cancel,70
cancel,28
add,76,bid,9992,20
cancel,29
add,77,bid,9989,15
add,78,ask,9998,3
cancel,16
add,79,ask,9997,10
cancel,32
add,80,bid,9991,14
cancel,18
add,81,ask,9993,10
cancel,24
add,82,ask,9995,6
cancel,25
add,83,ask,9994,15
cancel,59
add,84,bid,9990,11
cancel,80
cancel,26
add,85,ask,9996,2
cancel,27
add,86,ask,9992,12
add,87,bid,9988,5
add,88,ask,9990,19
cancel,33
